station_name,aqi,lat,lon
"BTM Layout, Bengaluru - CPCB",41.0,12.914001,77.610282
"BWSSB Kadabesanahalli, Bengaluru - CPCB",60.0,12.938965,77.696407
"Bapuji Nagar, Bengaluru - KSPCB",50.0,12.95567,77.540249
"City Railway Station, Bengaluru - KSPCB",61.0,12.977507,77.570768
"Hebbal, Bengaluru - KSPCB",39.0,13.038218,77.5919
"Hombegowda Nagar, Bengaluru - KSPCB",50.0,12.949145,77.598139
"Jayanagar 5th Block, Bengaluru - KSPCB",,12.919604,77.583381
"Peenya, Bengaluru - CPCB",57.0,13.033051,77.533223
"Sanegurava Halli, Bengaluru - KSPCB",35.0,12.989362,77.541385
"Silk Board, Bengaluru - KSPCB",67.0,12.917029,77.622321
