_id,SL No,Ward No,Ward Name,Bus Stops,LATITUDE,LONGITUDE
1,1,Outside BBMP Limits,Outside BBMP Limits,"Chikkabanawara ,CHIKKA BANAVARA,BESIDE SUMA TRADERS",13.081882,77.5002
2,2,Outside BBMP Limits,Outside BBMP Limits,Kalkere,12.832605,77.589092
3,3,Outside BBMP Limits,Outside BBMP Limits,AMC College Bannerghatta Road,12.830535,77.58816
4,4,Outside BBMP Limits,Outside BBMP Limits,Jalli Machine Bannerghatta Road,12.825654,77.586293
5,5,Outside BBMP Limits,Outside BBMP Limits,Vijaya Bank Banneragatta Circle,12.815678,77.583155
6,6,Outside BBMP Limits,Outside BBMP Limits,Bannerghatta Circle,12.813657,77.580912
7,7,Outside BBMP Limits,Outside BBMP Limits,"Sampigehalli,BHANNERGAHTTA POST",12.805745,77.578948
8,8,Outside BBMP Limits,Outside BBMP Limits,Bannerghatta National Park,12.800733,77.577808
9,9,Outside BBMP Limits,Outside BBMP Limits,Nelamangala,13.097835,77.393984
10,10,Outside BBMP Limits,Outside BBMP Limits,TB Stop Nelamangla Road,13.097835,77.393984
11,11,Outside BBMP Limits,Outside BBMP Limits,Weavers Colony Nelamangala,13.094348,77.405448
12,12,Outside BBMP Limits,Outside BBMP Limits,Nursery,13.090299,77.409242
13,13,Outside BBMP Limits,Outside BBMP Limits,Binnamangala,13.08747502,77.41254238
14,14,Outside BBMP Limits,Outside BBMP Limits,Arishinakunte,13.080296,77.424022
15,15,Outside BBMP Limits,Outside BBMP Limits,Devanna Palya,13.077933,77.430716
16,16,Outside BBMP Limits,Outside BBMP Limits,Dasanapura,13.075386,77.436402
17,17,Outside BBMP Limits,Outside BBMP Limits,Adakamaranahalli,13.070715,77.444905
18,18,Outside BBMP Limits,Outside BBMP Limits,Makali,13.065905,77.453471
19,19,Outside BBMP Limits,Outside BBMP Limits,Madanayakanahalli,13.061264,77.461308
20,20,Outside BBMP Limits,Outside BBMP Limits,TCI Tumkur Road,13.059096,77.465966
21,21,Outside BBMP Limits,Outside BBMP Limits,Madavara,13.056735,77.474724
22,22,Outside BBMP Limits,Outside BBMP Limits,Anchepalya Nelamangla Road,13.055259,77.479853
23,23,Outside BBMP Limits,Outside BBMP Limits,Jindal,13.054,77.483298
24,24,Outside BBMP Limits,Outside BBMP Limits,Chikka Bidarakallu,13.052394,77.487497
25,25,Outside BBMP Limits,Outside BBMP Limits,Morision Factory,13.050786,77.492179
26,26,Outside BBMP Limits,Outside BBMP Limits,"Bidadi,BIDADI,BESIDE BIDADI B.M.T.C. MAIN BUS STAND",12.79698,77.384883
27,27,Outside BBMP Limits,Outside BBMP Limits,"Railway Station Bidadi,BIDADI,IN FRONT OF RAILWAY STATION",12.799775,77.390823
28,28,Outside BBMP Limits,Outside BBMP Limits,"Byramangala Cross,BIDADI,IN FRONT OF PARVATHI ENTERPRISES",12.801813,77.397826
29,29,Outside BBMP Limits,Outside BBMP Limits,MEDANAHALLI,12.78917542,77.3985443
30,30,Outside BBMP Limits,Outside BBMP Limits,BAIRAVANA DODDY,12.786357,77.399956
31,31,Outside BBMP Limits,Outside BBMP Limits,COCO COLA,12.7813,77.403799
32,32,Outside BBMP Limits,Outside BBMP Limits,Innovative Film city,12.77964,77.40503
33,33,Outside BBMP Limits,Outside BBMP Limits,Abbanakuppe,12.773901,77.40966
34,34,Outside BBMP Limits,Outside BBMP Limits,DEPOT-36,12.7686,77.413803
35,35,Outside BBMP Limits,Outside BBMP Limits,Byramangala Lake,12.776121,77.420237
36,36,Outside BBMP Limits,Outside BBMP Limits,Kiabd 2nd Phase,12.795423,77.42336
37,37,Outside BBMP Limits,Outside BBMP Limits,"Eagleton Gate,IN FRONT OF EAGLETON RESORTS",12.810734,77.416038
38,38,Outside BBMP Limits,Outside BBMP Limits,Kadumane Hotel,12.815101,77.407134
39,39,Outside BBMP Limits,Outside BBMP Limits,"Billakempana Halli,BILLA KEMPANAHALLI,OPPOSITE OF RAILWAY GATE",12.812067,77.404039
40,40,Outside BBMP Limits,Outside BBMP Limits,"Byramangala Cross,BIDADI,OPPOSITE OF TYAGARAJU CENTRAL SCHOOL",12.803504,77.398466
41,41,Outside BBMP Limits,Outside BBMP Limits,"Railway Station Bidadi,BIDADI,OPPOSITE OF RAILWAY STATION",12.799476,77.390726
42,42,Outside BBMP Limits,Outside BBMP Limits,"Bidadi,BIDADI,IN FRONT OF GOVERNMENT HOSPITAL",12.79659809,77.38452692
43,43,Outside BBMP Limits,Outside BBMP Limits,Bagaluru,13.134464,77.667811
44,44,Outside BBMP Limits,Outside BBMP Limits,Chocolate,13.122309,77.668307
