sl_no,hospital_name,taluk,district,search_address,lat,lon
1,"Baddur Surgical & Maternity Home,Banahatti",Bagalkot,Bagalkote,"Baddur Surgical & Maternity Home,Banahatti, Bagalkot, Bagalkote, Karnataka, India",16.15531,75.821814
2,"Riti Lifecare Hospital,Mahalingapur",Bagalkot,Bagalkote,"Riti Lifecare Hospital,Mahalingapur, Bagalkot, Bagalkote, Karnataka, India",16.179199,75.699402
3,"Shakuntala Hospital And Preran Dental Clinic,New Railway Station",Bagalkot,Bagalkote,"Shakuntala Hospital And Preran Dental Clinic,New Railway Station, Bagalkot, Bagalkote, Karnataka, India",16.179199,75.699402
4,"Shri Venkateshwar Hospital,Ramdurga Road,Badami",Bagalkot,Bagalkote,"Shri Venkateshwar Hospital,Ramdurga Road,Badami, Bagalkot, Bagalkote, Karnataka, India",16.1863856,75.6952088
5,Manehospital (Multispecialitycentre) Nearrailwastation Bagalkot-587101,Bagalkot,Bagalkote,"Manehospital (Multispecialitycentre) Nearrailwastation Bagalkot-587101, Bagalkot, Bagalkote, Karnataka, India",16.179199,75.699402
6,"Vasanad Hospital,Near City Scan Centre,Bagalkot",Bagalkot,Bagalkote,"Vasanad Hospital,Near City Scan Centre,Bagalkot, Bagalkot, Bagalkote, Karnataka, India",16.173007,75.688378
7,"Parvatesh Hospital,Guledagudda",Bagalkot,Bagalkote,"Parvatesh Hospital,Guledagudda, Bagalkot, Bagalkote, Karnataka, India",16.179199,75.699402
8,"Venkatesh Hospital,Mahalingapur",Bagalkot,Bagalkote,"Venkatesh Hospital,Mahalingapur, Bagalkot, Bagalkote, Karnataka, India",16.179199,75.699402
9,"Shanti Hospital,Bagalkot",Bagalkot,Bagalkote,"Shanti Hospital,Bagalkot, Bagalkot, Bagalkote, Karnataka, India",16.18618,75.69522
10,"Murgod Health Centre,Opp Tmc Main Road,Mahalingapur",Bagalkot,Bagalkote,"Murgod Health Centre,Opp Tmc Main Road,Mahalingapur, Bagalkot, Bagalkote, Karnataka, India",15.888856,74.931386
11,Ashirwadhospital  Bagalkot.,Bagalkot,Bagalkote,"Ashirwadhospital  Bagalkot., Bagalkot, Bagalkote, Karnataka, India",16.177314,75.691304
12,"Telsang Maternity Hospital &Ultrasound Scanning Centre,Laxmi Nagar,Main Road,Bagalkot",Bagalkot,Bagalkote,"Telsang Maternity Hospital &Ultrasound Scanning Centre,Laxmi Nagar,Main Road,Bagalkot, Bagalkot, Bagalkote, Karnataka, India",16.170358,75.682279
13,"Dhanush Hospital,Bagalkot",Bagalkot,Bagalkote,"Dhanush Hospital,Bagalkot, Bagalkot, Bagalkote, Karnataka, India",16.179199,75.699402
14,S.N.Medical College Hsk Hospital  Navanagar.Bagakote,Bagalkot,Bagalkote,"S.N.Medical College Hsk Hospital  Navanagar.Bagakote, Bagalkot, Bagalkote, Karnataka, India",16.179199,75.699402
15,Kerudi Hospital Bagalkote,Bagalkot,Bagalkote,"Kerudi Hospital Bagalkote, Bagalkot, Bagalkote, Karnataka, India",16.172441,75.655643
16,Dr R.G Karudagimath Memorial Nursing Home Badami,Bagalkot,Bagalkote,"Dr R.G Karudagimath Memorial Nursing Home Badami, Bagalkot, Bagalkote, Karnataka, India",15.9187,75.680298
17,Belagali Nursing Home Mahalingapur.,Bagalkot,Bagalkote,"Belagali Nursing Home Mahalingapur., Bagalkot, Bagalkote, Karnataka, India",16.386191,75.15004
18,Bharatidevi Memorial Hospital.,Bagalkot,Bagalkote,"Bharatidevi Memorial Hospital., Bagalkot, Bagalkote, Karnataka, India",16.179199,75.699402
19,Nagathan Meternity Hospital Bagalkote,Bagalkot,Bagalkote,"Nagathan Meternity Hospital Bagalkote, Bagalkot, Bagalkote, Karnataka, India",16.18214,75.69764
20,Bhavi Hospital Bagalkote,Bagalkot,Bagalkote,"Bhavi Hospital Bagalkote, Bagalkot, Bagalkote, Karnataka, India",16.18336,75.70293
21,Chittaragi Hospital Rabakavi,Bagalkot,Bagalkote,"Chittaragi Hospital Rabakavi, Bagalkot, Bagalkote, Karnataka, India",16.472733,75.104969
22,"Shrinivas Nursing Home, Mahalingapur",Bagalkot,Bagalkote,"Shrinivas Nursing Home, Mahalingapur, Bagalkot, Bagalkote, Karnataka, India",16.384977,75.114065
23,Muragod Health Centre,Bagalkot,Bagalkote,"Muragod Health Centre, Bagalkot, Bagalkote, Karnataka, India",16.1865435,75.7061753
24,Kuntoji Hospital Bagalkote.,Bagalkot,Bagalkote,"Kuntoji Hospital Bagalkote., Bagalkot, Bagalkote, Karnataka, India",16.1871,75.6929
25,Kerudi Hospital Bagalkote.,Bagalkot,Bagalkote,"Kerudi Hospital Bagalkote., Bagalkot, Bagalkote, Karnataka, India",16.172441,75.655643
26,Saka Laproscopik Hospital  Ilakal.,Bagalkot,Bagalkote,"Saka Laproscopik Hospital  Ilakal., Bagalkot, Bagalkote, Karnataka, India",16.1846103,75.6927562
27,Shakuntala Multispeciality Hospital Bagalkote.,Bagalkot,Bagalkote,"Shakuntala Multispeciality Hospital Bagalkote., Bagalkot, Bagalkote, Karnataka, India",16.179758,75.698739
28,Akkimaradi Hospital.Anagavadi,Bagalkot,Bagalkote,"Akkimaradi Hospital.Anagavadi, Bagalkot, Bagalkote, Karnataka, India",16.260593,75.622026
29,Parvatesh Hospital Guledagudda.,Bagalkot,Bagalkote,"Parvatesh Hospital Guledagudda., Bagalkot, Bagalkote, Karnataka, India",16.179199,75.699402
30,Nara Meterniti Hospital Bagalkote.,Bagalkot,Bagalkote,"Nara Meterniti Hospital Bagalkote., Bagalkot, Bagalkote, Karnataka, India",16.179199,75.699402
31,Shanthi Hospital Bagalkote,Bagalkot,Bagalkote,"Shanthi Hospital Bagalkote, Bagalkot, Bagalkote, Karnataka, India",16.18618,75.69522
32,Vasanad Hospital Bagalkote,Bagalkot,Bagalkote,"Vasanad Hospital Bagalkote, Bagalkot, Bagalkote, Karnataka, India",16.173007,75.688378
33,Mane Hospital Bagalkote,Bagalkot,Bagalkote,"Mane Hospital Bagalkote, Bagalkot, Bagalkote, Karnataka, India",16.18673,75.69614
34,Riti Life Care Hospital Mahalingapur.,Bagalkot,Bagalkote,"Riti Life Care Hospital Mahalingapur., Bagalkot, Bagalkote, Karnataka, India",16.179199,75.699402
35,Nilugal Hospital Badami.,Bagalkot,Bagalkote,"Nilugal Hospital Badami., Bagalkot, Bagalkote, Karnataka, India",15.9250046,75.6781815
36,Kottureswara Maternity Home,Kampli,Ballari,"Kottureswara Maternity Home, Kampli, Ballari, Karnataka, India",15.4054651,76.6049837
37,"Sri.Sai Hospital , Toranagall",Sandur,Ballari,"Sri.Sai Hospital , Toranagall, Sandur, Ballari, Karnataka, India",15.1993002,76.6696156
38,"Jindal Sanjeevani Multi Sepciality Hospital, Toranagall",Sandur,Ballari,"Jindal Sanjeevani Multi Sepciality Hospital, Toranagall, Sandur, Ballari, Karnataka, India",15.19619,76.675914
39,Arogyadhama Hospital,Huvina Hadagali,Ballari,"Arogyadhama Hospital, Huvina Hadagali, Ballari, Karnataka, India",14.959,75.896
40,Anushka Hospital,Ballari,Ballari,"Anushka Hospital, Ballari, Ballari, Karnataka, India",15.1441542,76.9273894
41,Sri.Venkateshwara Hospital,Ballari,Ballari,"Sri.Venkateshwara Hospital, Ballari, Ballari, Karnataka, India",15.3444556,76.8345327
42,R.K.Hospital,Ballari,Ballari,"R.K.Hospital, Ballari, Ballari, Karnataka, India",15.1441542,76.9273894
43,Aradhana Hospital,Ballari,Ballari,"Aradhana Hospital, Ballari, Ballari, Karnataka, India",15.1573517,76.9378558
44,Shruthi Supeciality Hospital,Ballari,Ballari,"Shruthi Supeciality Hospital, Ballari, Ballari, Karnataka, India",15.1441542,76.9273894
45,Bharath Health Centre,Ballari,Ballari,"Bharath Health Centre, Ballari, Ballari, Karnataka, India",15.156854,76.9327226
46,Adarsh Nursing Home,Ballari,Ballari,"Adarsh Nursing Home, Ballari, Ballari, Karnataka, India",15.1536857,76.9335041
47,Amogha Nursing Home,Ballari,Ballari,"Amogha Nursing Home, Ballari, Ballari, Karnataka, India",15.1441542,76.9273894
48,Asha Hospital,Ballari,Ballari,"Asha Hospital, Ballari, Ballari, Karnataka, India",15.1441542,76.9273894
49,Sr Multi Speciality Hospital,Ballari,Ballari,"Sr Multi Speciality Hospital, Ballari, Ballari, Karnataka, India",15.1465882,76.9040614
50,Lv Nursing Home,Ballari,Ballari,"Lv Nursing Home, Ballari, Ballari, Karnataka, India",15.1530251,76.9280041
51,Madhuri Nursing Home,Ballari,Ballari,"Madhuri Nursing Home, Ballari, Ballari, Karnataka, India",15.1567433,76.9408191
52,Fpai,Ballari,Ballari,"Fpai, Ballari, Ballari, Karnataka, India",15.1441542,76.9273894
53,Shakti Nursing Home,Ballari,Ballari,"Shakti Nursing Home, Ballari, Ballari, Karnataka, India",15.1543716,76.928069
54,Chaitanya Hospital,Hosapete,Ballari,"Chaitanya Hospital, Hosapete, Ballari, Karnataka, India",15.26954,76.3871
55,Bellary Hrudayalaya,Ballari,Ballari,"Bellary Hrudayalaya, Ballari, Ballari, Karnataka, India",15.1388817,76.9768644
56,Sanjeevini Hospital,Kampli,Ballari,"Sanjeevini Hospital, Kampli, Ballari, Karnataka, India",15.1541997,76.9308112
57,Sri Balaji Nursing Home,Ballari,Ballari,"Sri Balaji Nursing Home, Ballari, Ballari, Karnataka, India",15.1551161,76.9282534
58,Sri.Dhanamma Super Speciality Hospital,Ballari,Ballari,"Sri.Dhanamma Super Speciality Hospital, Ballari, Ballari, Karnataka, India",15.1441542,76.9273894
59,Sri Ranga Hospital,Ballari,Ballari,"Sri Ranga Hospital, Ballari, Ballari, Karnataka, India",15.1441542,76.9273894
60,Amma Hospital,Ballari,Ballari,"Amma Hospital, Ballari, Ballari, Karnataka, India",15.1441542,76.9273894
61,Shiva Krupa Multi Speciality Hospital And Research Centre,Harapanahalli,Ballari,"Shiva Krupa Multi Speciality Hospital And Research Centre, Harapanahalli, Ballari, Karnataka, India",15.08037,76.35414
62,Priya Pathikonda Multispeciality Hospital,Harapanahalli,Ballari,"Priya Pathikonda Multispeciality Hospital, Harapanahalli, Ballari, Karnataka, India",15.08037,76.35414
63,Sri Raghavendra Sai Hospital,Siruguppa,Ballari,"Sri Raghavendra Sai Hospital, Siruguppa, Ballari, Karnataka, India",15.6334015,76.8947437
64,Balaji Maternity Home,Siruguppa,Ballari,"Balaji Maternity Home, Siruguppa, Ballari, Karnataka, India",15.6353,76.896004
65,Dr.Ramadevi Nursing Home,Siruguppa,Ballari,"Dr.Ramadevi Nursing Home, Siruguppa, Ballari, Karnataka, India",15.6353,76.896004
66,Srikari Hospital,Hosapete,Ballari,"Srikari Hospital, Hosapete, Ballari, Karnataka, India",15.26954,76.3871
67,Amara Jyothi Hospital,Hosapete,Ballari,"Amara Jyothi Hospital, Hosapete, Ballari, Karnataka, India",15.26954,76.3871
68,Sriraksha Hospital,Hosapete,Ballari,"Sriraksha Hospital, Hosapete, Ballari, Karnataka, India",15.26954,76.3871
