area_type,availability,location,size,society,total_sqft,bath,balcony,price,latitude,longitude
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056,2,1,39.07,12.8463512,77.6690975
Plot  Area,Ready To Move,Chikka Tirupathi,4 BHK,Theanmp,2600,5,3,120,12.8957681,77.8671014
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3,1,95,13.0026688,77.4915418
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,2,1,38,12.9963995,77.7614229
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2732,4,3,204,12.9572062,77.6741501
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3300,4,1,600,12.9945793,77.5503967
Plot  Area,Ready To Move,Whitefield,4 BHK,Prrry M,2785,5,2,295,12.9963995,77.7614229
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000,2,2,38,12.9136133,77.595695
Plot  Area,Ready To Move,Sarjapur,3 BHK,Skityer,2250,3,2,148,12.9116225,77.6388622
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2,3,73.5,12.9466619,77.5300896
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3,1,60,12.932582,77.5162034
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4,2,290,12.9778951,77.5164792
Plot  Area,Ready To Move,Thanisandra,4 BHK,Soitya ,2800,5,1,380,13.054713,77.6339258
Super built-up  Area,18-Nov, Thanisandra,1 BHK,Bhe 2ko,510,1,2,25.25,13.054713,77.6339258
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1,1,23.1,12.8487599,77.648253
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151,2,0,48.77,12.9558969,77.7405826
Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1025,2,1,47,12.8487599,77.648253
Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,2475,4,2,186,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760,2,1,123,13.0382184,77.5919
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3,2,57.39,12.932582,77.5162034
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,1925,3,2,125,13.0044979,77.6603231
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2,0,36,12.8856913,77.5526564
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,3,2,125,12.977594,77.7155586
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,1296,2,0,81,12.9589407,77.6555917
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254,3,1,38,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600,1,1,38,13.0232471,77.5883569
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1330.74,2,1,91.79,12.8856913,77.5526564
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970,2,2,33,12.8505644,77.6466948
Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459,2,2,94.82,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270,2,3,50,13.0305452,77.609433
Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,3,2,91,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600,2,3,75,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2,2,44,12.8856188,77.6252418
Built-up  Area,20-Feb,Devanahalli,4 BHK,BrereAt,3210,2,3,192,13.2483502,77.7134377
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500,2,1,185,12.9778951,77.5164792
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845,5,1,55,13.0232471,77.5883569
Plot  Area,Ready To Move,Whitefield,4 BHK,Chranya,5700,2,1,650,12.9963995,77.7614229
Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160,2,2,44,12.9406508,77.746988
Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140,2,3,43,12.9209772,77.7361016
Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,1358,3,2,80.58,12.8856188,77.6252418
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1569,2,2,101,13.0720352,77.6333905
Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1240,3,2,70,12.9018012,77.6641767
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089,3,2,140,13.0351224,77.631944
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,2511,2,2,205,13.0364498,77.5975272
Built-up  Area,18-Oct,Hennur Road,4 BHK,Gollela,3203.5,5,3,224.5,13.0351224,77.631944
Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,1326,2,1,78,13.1006982,77.5963454
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1499,2,3,102,12.9781922,77.7246451
Super built-up  Area,17-Sep,Dasanapura,2 BHK,Tavenew,708,2,1,37,12.7467724,77.7742876
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,1060,2,1,58.06,12.9047595,77.6759172
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Saenti ,1000,4,2,70,12.9578658,77.6958748
Super built-up  Area,17-Aug,Thanisandra,2 BHK,Bhmesy ,1296,3,2,80,13.054713,77.6339258
